Date,Celsia,Banco de Bogota,Ecopetrol,ETB,Nutresa,Banco Davivienda PF,Promigas,Mineros SA,Grupo Bolivar
2023-02-17,1724.2401123046875,24949.640625,1470.677490234375,107.0999984741211,44898.1328125,22777.296875,3103.462158203125,1998.84716796875,47728.3828125
2023-02-20,1777.5262451171875,25317.619140625,1479.376708984375,107.0999984741211,44986.33984375,22932.244140625,3041.249755859375,1869.85693359375,48392.0625
2023-02-21,1685.2696533203125,24684.671875,1500.83349609375,107.0999984741211,42768.078125,22786.41015625,3063.39453125,1949.8507080078125,47993.484375
2023-02-22,1728.2166748046875,24376.486328125,1470.677490234375,107.0999984741211,43897.49609375,23105.421875,3065.985595703125,1849.8585205078125,49115.86328125
2023-02-23,1775.9359130859375,23339.6796875,1514.75146484375,107.0999984741211,44977.5234375,22923.12890625,3067.808837890625,1895.4146728515625,46618.42578125
2023-02-24,1779.11669921875,22485.208984375,1519.390869140625,107.0999984741211,44968.703125,22786.41015625,3206.599365234375,1939.8516845703125,46478.1484375
2023-02-27,1920.6829833984375,22042.154296875,1557.0858154296875,107.0999984741211,44986.33984375,22786.41015625,3046.372314453125,1939.8516845703125,48266.734375
2023-02-28,1926.249755859375,19842.681640625,1564.624755859375,107.0999984741211,44809.921875,22786.41015625,3092.360595703125,1851.8583984375,48266.734375
2023-03-01,2028.0498046875,19739.830078125,1574.483154296875,107.0999984741211,44880.4921875,22786.41015625,3081.6572265625,1851.8583984375,47034.6796875
2023-03-02,1996.2371826171875,20174.9765625,1557.0858154296875,107.08000183105469,42957.5390625,23041.619140625,2952.669677734375,1992.84765625,47034.6796875
2023-03-03,2090.8798828125,20333.21875,1580.2823486328125,107.0999984741211,42578.25,22522.087890625,2952.669677734375,1992.84765625,47950.38671875
2023-03-06,2137.803466796875,20333.21875,1588.9814453125,107.0999984741211,46574.08984375,22759.06640625,3115.066650390625,1992.84765625,48275.05859375
2023-03-07,2131.440673828125,20333.21875,1557.0858154296875,111.0999984741211,50014.22265625,22321.568359375,3026.486328125,1992.84765625,48283.3671875
2023-03-08,2067.8154296875,21274.708984375,1555.345947265625,120.0,50631.67578125,22102.818359375,3144.593505859375,1992.84765625,47450.91015625
2023-03-09,1988.2838134765625,21717.771484375,1526.3499755859375,119.9000015258789,50353.66015625,21291.623046875,3144.593505859375,2299.823974609375,47127.73046875
2023-03-10,1948.5181884765625,21440.853515625,1478.7967529296875,115.0,50353.66015625,20872.353515625,3105.64013671875,2299.823974609375,46124.01953125
2023-03-13,1924.6590576171875,21330.078125,1427.7635498046875,115.29000091552734,50168.15234375,19960.896484375,3146.3720703125,2299.823974609375,47766.5703125
2023-03-14,2032.02685546875,21994.6796875,1439.36181640625,108.18000030517578,48586.87109375,19960.896484375,3156.488037109375,2289.82470703125,47967.25
2023-03-15,2147.34716796875,22152.91796875,1390.0687255859375,116.0,44169.8828125,19906.208984375,3117.123046875,2219.920654296875,49236.3046875
2023-03-16,2282.55078125,23545.37890625,1374.4110107421875,118.0,44169.8828125,19933.552734375,3070.80419921875,2249.82763671875,50939.86328125
2023-03-17,2265.053466796875,23545.37890625,1391.80859375,105.62999725341797,41519.6875,20963.498046875,3080.014404296875,2289.82470703125,50939.86328125
2023-03-20,2265.053466796875,23545.37890625,1391.80859375,105.62999725341797,41519.6875,20963.498046875,3080.014404296875,2289.82470703125,50939.86328125
2023-03-21,2226.87841796875,22944.08984375,1424.2840576171875,110.0,41077.99609375,20507.767578125,3014.70361328125,2289.82470703125,50362.55859375
2023-03-22,2171.20654296875,23339.6796875,1396.4478759765625,108.19999694824219,42570.93359375,20553.34375,2968.688720703125,2299.823974609375,50104.7890625
2023-03-23,2218.925537109375,23231.31640625,1329.177001953125,108.19999694824219,41484.35546875,19696.572265625,3006.984619140625,2202.8310546875,51758.25390625
2023-03-24,2187.11279296875,22777.939453125,1332.07666015625,104.7699966430664,41519.6875,20052.041015625,2971.316162109375,2229.919677734375,50939.86328125
2023-03-27,2226.87841796875,23347.59375,1356.433349609375,104.9800033569336,43551.5078125,20817.666015625,3117.123046875,1999.8470458984375,50939.86328125
2023-03-28,2237.2177734375,23735.271484375,1384.8492431640625,113.33999633789062,44169.8828125,21400.998046875,3116.97412109375,2051.19287109375,50939.86328125
