empresa,fecha,rendimiento,metodo,motivo
ETB,2023-10-31,-0.08551078965371477,percentil,valor < percentil 1%
ETB,2023-12-20,0.10280949386622094,z_score,|z| = 3.39 > 3.0
ETB,2024-01-16,0.1861022796338607,z_score,|z| = 6.13 > 3.0
ETB,2024-02-26,-0.10956220251152628,z_score,|z| = -3.59 > 3.0
ETB,2024-05-29,-0.10536051565782628,z_score,|z| = -3.45 > 3.0
ETB,2024-07-19,-0.12306009275722725,z_score,|z| = -4.03 > 3.0
ETB,2025-01-20,-0.084557388028063,percentil,valor < percentil 1%
ETB,2025-02-26,-0.2682639865946794,z_score,|z| = -8.81 > 3.0
ETB,2025-02-27,0.12629372532429206,z_score,|z| = 4.16 > 3.0
ETB,2025-04-01,0.09237332013101507,z_score,|z| = 3.05 > 3.0
ETB,2026-03-05,0.13405103984381012,z_score,|z| = 4.42 > 3.0
ETB,2026-06-23,0.13580154115906182,z_score,|z| = 4.48 > 3.0
ETB,2026-06-25,0.09745533615071306,z_score,|z| = 3.21 > 3.0
ETB,2026-06-26,0.1582240052148942,z_score,|z| = 5.21 > 3.0
ETB,2026-06-30,0.1524070002224314,z_score,|z| = 5.02 > 3.0
ETB,2026-07-02,-0.22067136216882063,z_score,|z| = -7.24 > 3.0
ETB,2026-08-25,0.125163142954006,z_score,|z| = 4.13 > 3.0
ETB,2026-09-02,0.26053108338583014,z_score,|z| = 8.58 > 3.0
ETB,2026-09-03,0.1528392042294475,z_score,|z| = 5.04 > 3.0
ETB,2026-09-08,0.10863384100279537,z_score,|z| = 3.58 > 3.0
Ecopetrol,2020-03-06,-0.06843054238742094,percentil,valor < percentil 1%
Ecopetrol,2020-03-09,-0.22398703076929696,z_score,|z| = -8.99 > 3.0
Ecopetrol,2020-03-12,-0.13931362494188,z_score,|z| = -5.60 > 3.0
Ecopetrol,2020-03-16,-0.11746081798769108,z_score,|z| = -4.72 > 3.0
Ecopetrol,2020-03-17,-0.09097194675406418,z_score,|z| = -3.66 > 3.0
Ecopetrol,2020-03-18,-0.1321717618719263,z_score,|z| = -5.31 > 3.0
Ecopetrol,2020-03-24,0.08392029360891308,z_score,|z| = 3.35 > 3.0
Ecopetrol,2020-03-25,0.11399179809158765,z_score,|z| = 4.56 > 3.0
Ecopetrol,2020-04-02,0.12260249793363284,z_score,|z| = 4.90 > 3.0
Ecopetrol,2020-04-03,0.08741174179836898,z_score,|z| = 3.49 > 3.0
Ecopetrol,2020-06-05,0.08217715890459654,z_score,|z| = 3.28 > 3.0
Ecopetrol,2020-06-11,-0.10365978431190707,z_score,|z| = -4.17 > 3.0
Ecopetrol,2020-11-17,0.06531950677504919,percentil,valor > percentil 99%
Ecopetrol,2021-06-24,0.08654862827652096,z_score,|z| = 3.46 > 3.0
Ecopetrol,2022-02-28,0.06292586811413746,percentil,valor > percentil 99%
